Alternative,g1,g2,g3,g4,g5,g6,g7,Class
a1,0.5,0.333333,0.375,1,1,0,1,Cl2
a2,0.5,1,0.25,0,1,1,1,Cl2
a3,0,0,1,1,0.5,1,0,Cl1
a4,0,0.166667,0.375,1,1,1,1,Cl2
a5,0.5,1,0.25,1,0.5,0,0,Cl1
a6,0.5,0.5,0,1,0,0,0,Cl1
a7,0.5,1,0.25,0,0,0,0,Cl1
a8,0,0.333333,0.125,1,0,1,1,Cl1
a9,0,0.166667,0,0,0.5,1,1,Cl1
a10,0.5,0.666667,0,1,0.5,0,0,Cl1
a11,1,0.833333,1,1,0.5,0,0,Cl2
a12,0.5,0.833333,0.625,1,1,1,1,Cl2
a13,0,0.5,0.125,1,0,1,1,Cl1
a14,0,0.166667,0.5,1,0.5,0,1,Cl1
a15,0.5,0,0,0,0.5,1,0,Cl1
a16,1,0.333333,1,1,0,1,1,Cl1
a17,0,1,0.625,0,1,1,0,Cl2
a18,0,0,0,1,0.5,0,1,Cl1
a19,0.5,0.833333,0.125,1,0,1,0,Cl1
a20,1,0.166667,0.125,1,0,0,0,Cl1
a21,0,0,0.5,0,0,0,0,Cl1
a22,0.5,0.166667,1,0,0.5,0,0,Cl1
a23,1,0.166667,0.25,1,0,1,0,Cl1
a24,1,1,1,1,0,1,0,Cl1
a25,1,0.833333,0.25,1,0.5,1,0,Cl1
a26,0,0,0.25,1,0.5,0,0,Cl1
a27,0,0.5,1,0,1,0,1,Cl2
a28,0.5,0.166667,0.625,0,1,0,0,Cl1
a29,1,0.166667,0.25,1,1,1,1,Cl2
a30,1,0.166667,0.25,0,0.5,0,1,Cl1
a31,1,0.166667,1,1,0.5,0,0,Cl1
a32,0.5,1,0.375,1,0.5,1,0,Cl1
a33,0.5,0,0.375,0,0,0,1,Cl1
a34,1,0.5,0.125,1,1,1,0,Cl2
a35,0,0.833333,0,0,0.5,1,0,Cl1
a36,1,0.666667,0.25,1,0,1,1,Cl1
a37,0.5,0,0.375,1,1,0,1,Cl2
a38,0,0,0.375,0,0.5,1,1,Cl1
a39,1,0.666667,0.5,1,0.5,0,0,Cl1
a40,0,0.5,0.5,1,0.5,0,0,Cl1
a41,0,0.333333,0.5,1,0.5,1,0,Cl1
a42,0.5,1,0.5,0,1,0,0,Cl2
a43,1,0.333333,1,1,0.5,0,0,Cl1
a44,0,0.333333,0.375,0,1,0,0,Cl1
a45,0.5,0.166667,0.125,1,0.5,0,1,Cl1
a46,0.5,0.833333,0.625,1,0,1,1,Cl1
a47,0.5,0.333333,0.125,0,0.5,0,0,Cl1
a48,1,0.833333,1,0,0,0,0,Cl1
a49,1,0.833333,0.125,0,1,1,1,Cl2
a50,0.5,1,0.125,0,0.5,1,1,Cl1
a51,1,0.166667,0.25,1,0,1,0,Cl1
a52,0.5,0.166667,0.125,1,0,0,1,Cl1
a53,0,0.833333,0.625,1,0,0,1,Cl1
a54,1,0.666667,0,0,0.5,0,0,Cl1
a55,0.5,0.5,0,0,0,0,1,Cl1
a56,1,0.833333,0.375,1,1,1,0,Cl2
a57,0.5,0.666667,0.625,0,0.5,0,0,Cl1
a58,1,0,0.375,0,0,0,1,Cl1
a59,0.5,0.5,0.25,1,0,0,1,Cl1
a60,0.5,0.5,0.25,1,1,1,0,Cl2
a61,0.5,1,0.625,1,0.5,0,1,Cl2
a62,1,0.333333,0.625,0,1,1,1,Cl2
a63,1,0.166667,0,0,1,1,1,Cl1
a64,1,1,0.25,1,1,0,0,Cl2
a65,1,0.333333,0.5,1,0.5,0,1,Cl2
a66,1,0.166667,0.625,1,0.5,0,0,Cl1
a67,0,1,0.125,1,0.5,0,0,Cl1
a68,0.5,0.833333,0.25,1,1,1,1,Cl2
a69,1,0,0,0,1,0,0,Cl1
a70,0.5,0.833333,0.125,1,0,1,1,Cl1
a71,0.5,0.333333,0,1,0,0,1,Cl1
a72,0.5,1,0.125,1,0,1,1,Cl1
a73,0,0.166667,0.25,0,1,0,0,Cl1
a74,0,0.5,0.25,0,0,1,1,Cl1
a75,0,0.5,0,1,0.5,0,0,Cl1
a76,0.5,0.166667,0.5,0,1,1,1,Cl1
a77,0,0.666667,0.25,1,0,0,0,Cl1
a78,0.5,0.166667,0.625,0,0,0,1,Cl1
a79,0.5,0.5,0.125,0,0,0,0,Cl1
a80,1,0.5,0,0,1,1,0,Cl1
a81,0,0.333333,1,1,1,0,0,Cl2
a82,0,1,0.625,1,0.5,1,0,Cl2
a83,0.5,0.833333,0,0,1,1,1,Cl2
a84,0,0.833333,0.625,1,1,1,0,Cl2
a85,1,0.833333,1,0,0.5,1,1,Cl2
a86,0.5,0.333333,0.5,1,0,0,0,Cl1
a87,1,1,0,1,0,0,1,Cl1
a88,0.5,0.166667,0.125,1,1,1,1,Cl2
a89,0,0.5,0.625,0,1,1,0,Cl1
a90,1,0.5,0,1,1,0,0,Cl1
a91,1,0.333333,0.25,0,0,0,1,Cl1
a92,1,0.833333,1,0,1,0,0,Cl2
a93,0.5,1,1,1,1,1,1,Cl2
a94,1,0.166667,1,0,0,1,0,Cl1
a95,0.5,0.666667,0.375,1,0.5,1,1,Cl2
a96,0,0.666667,0.25,1,0.5,0,1,Cl1
a97,0,0.333333,0.375,0,0,0,1,Cl1
a98,0.5,0.5,0.25,1,1,0,1,Cl2
a99,0.5,1,0.125,0,0.5,1,0,Cl1
a100,0.5,0.166667,1,0,0,1,0,Cl1
a101,0,0.5,0,0,1,1,1,Cl1
a102,0,0.333333,1,1,1,0,1,Cl2
a103,0,1,0.625,1,1,1,1,Cl2
a104,1,0.833333,0.5,1,1,0,0,Cl2
a105,0,1,0.125,1,0,0,1,Cl1
a106,0,0,0,0,0,1,1,Cl1
a107,1,0.166667,1,1,0.5,1,1,Cl2
a108,0,1,0.375,0,0,1,1,Cl1
a109,0.5,1,0.625,0,0.5,1,0,Cl1
a110,0,0,0.25,0,0.5,0,1,Cl1
a111,0,0.5,0.25,0,0,1,0,Cl1
a112,1,0,0.5,0,0,0,1,Cl1
a113,1,0.666667,0.375,0,1,1,1,Cl2
a114,0.5,1,0,0,1,0,1,Cl2
a115,1,0.666667,0.375,1,0,0,1,Cl1
a116,1,0.166667,0.5,0,0,1,1,Cl1
a117,0.5,0.833333,0.375,0,0,0,0,Cl1
a118,1,1,0,1,0,1,1,Cl1
a119,0,0.666667,0.125,1,0.5,1,0,Cl1
a120,1,0.666667,0.375,1,0,1,1,Cl1
a121,0.5,1,0,1,0.5,0,1,Cl2
a122,1,0.333333,0.625,0,1,1,0,Cl1
a123,0.5,0.333333,1,1,0.5,1,0,Cl1
a124,0,0.833333,0.625,1,1,0,1,Cl2
a125,0,0,0.125,1,1,1,0,Cl1
a126,0.5,0.333333,0.375,1,0,0,1,Cl1
a127,1,0.666667,0.625,1,0.5,0,0,Cl1
a128,1,0.166667,0.125,1,1,0,1,Cl2
a129,0.5,0.833333,0.375,1,0.5,0,0,Cl1
a130,1,0.5,0.25,0,1,0,1,Cl1
a131,1,0.833333,0.625,1,1,1,1,Cl2
a132,0.5,0.166667,0.125,1,0,1,0,Cl1
a133,0,0.5,0.5,1,1,0,0,Cl2
a134,0,1,0.125,1,0.5,0,0,Cl1
a135,1,0,0.125,1,1,0,1,Cl2
a136,0,0.833333,0.375,0,1,0,0,Cl1
a137,0.5,0.666667,0.375,1,1,1,0,Cl2
a138,0.5,0.333333,0.125,1,1,1,1,Cl2
a139,1,0.5,0.5,1,1,1,1,Cl2
a140,1,0.333333,0.375,1,1,0,0,Cl2
a141,0.5,0.666667,0.125,1,1,1,0,Cl2
a142,0,0.833333,0.25,0,0.5,0,0,Cl1
a143,0.5,0.166667,0.5,0,1,1,1,Cl1
a144,0,0.5,0.5,1,1,0,1,Cl2
a145,1,0.5,0,0,0,1,0,Cl1
a146,0.5,0.833333,0,1,0.5,0,1,Cl1
a147,0.5,0.166667,0,0,1,1,1,Cl1
a148,0,0,0.125,1,0,1,1,Cl1
a149,1,0,0.375,1,1,0,0,Cl1
a150,0,0.666667,0.625,0,1,0,0,Cl1
a151,0,0.5,0.5,1,0,1,1,Cl1
a152,1,0.166667,0.25,0,1,1,0,Cl1
a153,1,0.5,0.625,0,0,1,1,Cl1
a154,1,0,1,0,0.5,1,1,Cl1
a155,0,1,0.5,0,1,0,1,Cl2
a156,1,0.666667,1,1,0.5,1,0,Cl2
a157,0.5,0.166667,0.25,0,1,0,0,Cl1
a158,0,0.166667,1,0,0,1,0,Cl1
a159,0,1,0.5,1,0,0,1,Cl1
a160,0,1,0.625,0,0,1,1,Cl1
a161,0.5,0.166667,0.625,1,0,1,0,Cl1
a162,0,0.166667,1,0,1,0,1,Cl2
a163,1,0.5,0,0,0.5,1,0,Cl1
a164,0,0.833333,0.125,1,0,0,0,Cl1
a165,0,0.166667,0,1,0,1,0,Cl1
a166,0,0,0.625,1,0,1,1,Cl1
a167,1,1,0.625,1,1,1,1,Cl2
a168,1,0.5,0,1,0,1,1,Cl1
a169,0,0.333333,0.125,0,1,1,1,Cl1
a170,1,0.166667,0,0,1,1,1,Cl1
a171,1,0.666667,1,0,1,0,0,Cl2
a172,0,0.5,0.25,1,0.5,0,1,Cl1
a173,1,0.666667,0.5,0,1,1,0,Cl1
a174,0,0.833333,0.125,0,0,1,0,Cl1
a175,0,0.333333,0.375,1,1,1,1,Cl2
a176,1,0,0,0,1,1,0,Cl1
a177,0.5,0.5,0.5,0,1,1,0,Cl1
a178,0,0.833333,0.375,1,0,1,1,Cl1
a179,0,0.333333,0,1,1,0,1,Cl2
a180,0,0.5,1,0,0,0,0,Cl1
a181,0,0.333333,1,1,1,0,0,Cl2
a182,0,0.833333,0,1,0.5,1,0,Cl1
a183,1,0.333333,0.25,1,0,1,1,Cl1
a184,0,0.833333,0.5,0,0.5,0,1,Cl1
a185,1,1,0.5,0,0,1,0,Cl1
a186,1,0.333333,0.25,1,1,1,0,Cl1
a187,0,0.333333,1,1,0.5,1,0,Cl1
a188,0,0.333333,0.5,1,1,1,1,Cl2
a189,0,0.333333,0.375,1,0,1,1,Cl1
a190,0,0.666667,0.25,0,1,1,0,Cl1
a191,0,0.5,0.375,0,1,1,0,Cl1
a192,0,0.166667,0,1,0,0,1,Cl1
a193,0.5,0,1,1,0,1,1,Cl1
a194,0.5,0.166667,1,0,0,1,1,Cl1
a195,0,1,0,1,1,1,0,Cl2
a196,1,0.666667,0.25,1,0,1,0,Cl1
a197,1,0.666667,0.625,0,1,1,0,Cl1
a198,1,0.833333,0,0,1,0,1,Cl2
a199,0,0.5,1,0,1,1,0,Cl2
a200,0,0.5,0.375,0,0,1,0,Cl1
a201,0,0,0.25,0,1,0,0,Cl1
a202,1,0.5,1,0,1,1,1,Cl2
a203,0,0.5,0.125,1,1,1,0,Cl1
a204,1,0.5,0.125,0,0.5,0,1,Cl1
a205,1,1,0.25,0,0,1,1,Cl1
a206,1,1,1,1,1,0,0,Cl2
a207,0,0,0.25,0,0,1,1,Cl1
a208,1,1,0.25,0,1,0,0,Cl1
a209,1,0,0.125,1,0.5,1,0,Cl1
a210,0,0.5,0.125,0,0,0,0,Cl1
a211,0,1,0.625,0,0.5,1,0,Cl1
a212,0,0.666667,0.125,0,1,0,1,Cl1
a213,0,0.333333,1,1,0,1,0,Cl1
a214,1,0.666667,0,0,0,1,0,Cl1
a215,1,0.833333,0.5,0,0,0,0,Cl1
a216,1,0.5,0.125,1,1,1,0,Cl2
a217,0,0.5,0,0,1,1,0,Cl1
a218,1,0.5,0.25,0,1,0,1,Cl1
a219,1,0,0.5,0,1,1,1,Cl1
a220,0,0.166667,0.375,0,0,0,1,Cl1
a221,0.5,0.833333,0.5,0,1,0,0,Cl1
a222,0,0,1,0,0,1,0,Cl1
a223,1,0.333333,0.375,0,1,0,1,Cl1
a224,0,0.5,0.5,1,1,0,1,Cl2
a225,1,0.666667,0.375,0,1,0,0,Cl1
a226,1,0.333333,1,1,0.5,1,0,Cl2
a227,0,0.333333,0.25,1,1,1,1,Cl2
a228,0,0.833333,0.125,0,1,0,1,Cl2
a229,0.5,0.666667,0.625,1,0,1,1,Cl1
a230,1,0.333333,1,0,0.5,0,0,Cl1
a231,0,0.833333,1,0,0.5,1,1,Cl2
a232,0,0.166667,1,1,1,0,0,Cl2
a233,0.5,0,0.5,1,0,1,1,Cl1
a234,0,0.833333,0.25,0,0,0,1,Cl1
a235,0.5,1,0.5,1,0.5,0,0,Cl1
a236,1,0.333333,1,0,1,0,0,Cl2
a237,0.5,1,0.5,1,1,1,1,Cl2
a238,1,0.333333,1,0,0,0,0,Cl1
a239,1,0.5,0.25,0,0.5,1,1,Cl1
a240,0,0.333333,0.25,0,1,0,1,Cl1
a241,1,0,0.5,1,0,0,0,Cl1
a242,0,0.166667,0.5,1,1,0,1,Cl2
a243,1,0,0.5,0,1,0,1,Cl1
a244,0,1,1,0,0.5,0,1,Cl2
a245,0,0.166667,1,0,0.5,1,0,Cl1
a246,1,0.5,0.375,1,1,1,0,Cl2
