Alternative,g1,g2,g3,g4,g5,g6,Class
a1,0.333333,1,0,1,0,1,Cl2
a2,0.666667,1,1,0.5,1,0.5,Cl2
a3,0.666667,0.666667,0,0.5,1,0,Cl1
a4,0.666667,0.666667,0.666667,0,0,0,Cl1
a5,0.666667,0,0,1,0,1,Cl2
a6,0,0.333333,1,0,0,0.5,Cl1
a7,0.666667,1,0.666667,1,0,0,Cl1
a8,0,0.333333,1,0.5,0,0,Cl1
a9,0.666667,0.666667,0,0,0.5,0,Cl1
a10,0,0,1,0,0.5,0,Cl1
a11,0.666667,0.666667,1,1,0.5,1,Cl3
a12,0.666667,0,0.666667,1,0,1,Cl2
a13,1,0.666667,0.333333,1,1,1,Cl3
a14,0,0.333333,0.666667,0.5,0.5,0.5,Cl1
a15,1,0,0.666667,0.5,1,0,Cl1
a16,0.333333,1,0.666667,1,0.5,1,Cl3
a17,0,0,0.333333,0.5,0,1,Cl1
a18,0.333333,1,0.666667,0.5,1,1,Cl2
a19,0.333333,0,0.333333,1,0,1,Cl2
a20,0.333333,0.333333,1,1,1,0.5,Cl2
a21,0,0.666667,1,0,0,1,Cl1
a22,0.333333,0.333333,0.333333,0,1,0,Cl1
a23,1,0,0.333333,1,0,1,Cl2
a24,1,0.666667,0.666667,0.5,1,0.5,Cl2
a25,0,0,0,0.5,0,0,Cl1
a26,1,0.333333,1,0,1,1,Cl2
a27,0,0,1,0,1,0.5,Cl1
a28,0,0,0,0,0.5,1,Cl1
a29,0.333333,0,0.333333,1,1,0,Cl1
a30,0.666667,1,0.333333,0.5,1,0,Cl1
a31,0.333333,0,0,1,0.5,1,Cl2
a32,0.666667,0,0,0,1,0.5,Cl1
a33,0.333333,0.666667,0.666667,0,1,1,Cl1
a34,0.666667,0.333333,0,0,1,0.5,Cl1
a35,0,0,1,0.5,0,0,Cl1
a36,0.666667,1,0.666667,1,1,0.5,Cl3
a37,0,0.333333,0,0,0.5,0,Cl1
a38,0.666667,1,0.333333,0.5,0.5,0,Cl1
a39,0,0.666667,0.333333,0.5,0.5,0.5,Cl1
a40,1,1,0,0.5,1,1,Cl3
a41,0.333333,0.333333,0.666667,0,1,0.5,Cl1
a42,0,0,0,0,0,0,Cl1
a43,0.333333,0,0.333333,1,0,0.5,Cl1
a44,0.666667,0.333333,0.666667,0,0.5,1,Cl1
a45,1,0,0,0,0.5,0.5,Cl1
a46,0.333333,1,0,0.5,0.5,1,Cl2
a47,0.666667,1,0.666667,0.5,0.5,0.5,Cl2
a48,1,0.333333,1,0,1,1,Cl2
a49,1,0,0.666667,0.5,1,0.5,Cl1
a50,0.666667,0,0.666667,0,0,0.5,Cl1
a51,0.666667,0.666667,0.333333,1,1,1,Cl3
a52,0.333333,0,1,0,0,0,Cl1
