Alternative,g1,g2,g3,g4,g5,g6,Class
a1,0.066082,0.044965,0.097535,0.25,1,0.295455,Cl3
a2,0.050573,0.022044,0.499499,0.554688,0.615385,0.113636,Cl4
a3,0.066757,0.039016,0,0.117188,0.096154,0.136364,Cl1
a4,0.07822,0.001002,0.186687,0.625,0.076923,0.727273,Cl4
a5,0.049225,0.001002,0.092843,0.09375,0.5,0.090909,Cl2
a6,0.064059,0.123246,0.045921,0.117188,0.307692,0.085227,Cl1
a7,0.008766,0.013652,0.01464,0.046875,0.307692,0.034091,Cl1
a8,0.534727,1,0.186687,0,0.115385,0.113636,Cl4
a9,0.028321,0.044965,1,0.125,0.615385,0.363636,Cl4
a10,0.03911,0.498998,0.124124,0.511719,0.115385,0.022727,Cl3
a11,0.050573,0.013652,0.092843,0.554688,0.057692,0.085227,Cl3
a12,0.066757,0.123246,0.186687,0.375,0.076923,0.272727,Cl3
a13,0.055968,0.014028,0.374374,0.035156,0.153846,0.590909,Cl3
a14,0.224545,0.039016,0.374374,0.125,0,0.272727,Cl3
a15,0.084963,0.006012,0.077202,1,0.461538,0,Cl4
a16,0.096426,0.0062,0.092843,0,0.019231,0.085227,Cl1
a17,0.066757,0.0062,0.077202,0.007813,0.096154,0.005682,Cl1
a18,0.136885,0.002004,0.069382,0.03125,0,0.017045,Cl1
a19,0.062711,0.0062,0.007007,0.511719,0.134615,0.147727,Cl2
a20,0.066757,0.014404,0.053741,0.023438,0.019231,0.107955,Cl1
a21,0.190829,0.123246,0.499499,0.625,0.057692,0.079545,Cl4
a22,0.07822,0.0062,0.053741,0.007813,0.153846,0.068182,Cl1
a23,0.190829,0.039016,0.374374,0,0.153846,0.136364,Cl3
a24,0.01416,0,0.011011,0.625,0.115385,0.147727,Cl2
a25,0.066757,0.002004,0.069382,0.25,0.057692,0.113636,Cl2
a26,0.211059,0.014028,0.02246,1,0.307692,0.272727,Cl4
a27,0.312205,0.162074,0.01464,0.125,0.076923,0.636364,Cl3
a28,0.08294,0.0062,0.02246,0.1875,0.5,1,Cl3
a29,0.028321,0,0.162913,0.0625,0.5,0.005682,Cl2
a30,0.015509,0.022044,0.061562,0.253906,0.134615,0.068182,Cl1
a31,0.157114,0,0.069382,0.253906,0.134615,0.005682,Cl2
a32,0.084963,0.248497,0.02246,0.117188,0.461538,0.079545,Cl2
a33,0.005394,0.002004,1,0.09375,0.230769,0.028409,Cl4
a34,0.031693,0.002004,0.061562,0.125,0.019231,0.147727,Cl1
a35,0.020904,0.014028,0.499499,0.1875,0.307692,0.017045,Cl3
a36,0.534727,0.006012,0.326983,0.511719,0.461538,0.636364,Cl4
a37,0.026298,0.091934,0.162913,1,0.230769,0.085227,Cl4
a38,0.020904,0.248497,0.095971,0.117188,0.096154,1,Cl3
a39,0.045179,0.014404,0.092843,0.023438,0,0.090909,Cl1
a40,0.064059,0.091934,0.01464,1,1,0,Cl4
a41,0.059339,0.014028,0.01464,0.0625,0.096154,0.636364,Cl2
a42,0.028321,0.001002,0.124124,0.0625,0.615385,0.022727,Cl2
a43,0.035738,0.002004,0.186687,0,0.134615,0.073864,Cl1
a44,0.045179,0.248497,0.326983,0.023438,0.096154,0.136364,Cl3
a45,0.534727,0.022044,0.02246,0.003906,0.019231,0.039773,Cl2
a46,0.106541,0.060621,0.01464,0.625,0.5,0.107955,Cl3
a47,0.026972,0.498998,0.069382,0.046875,0.115385,0.159091,Cl2
a48,0.020904,0.006012,0.095971,0,0.076923,0.079545,Cl1
a49,0.004046,0.001002,0.097535,0.554688,0.5,0.590909,Cl4
a50,0.113284,0.001002,0.374374,0,0.019231,0.005682,Cl2
a51,0.084963,0.044965,0.374374,0.015625,0.038462,0.028409,Cl3
a52,1,0.162074,0.03028,1,0.096154,0.590909,Cl4
a53,0.062711,0.01002,0.499499,0.1875,0.307692,0.039773,Cl4
a54,0.026972,0.013652,0.092843,0.09375,0.307692,0.136364,Cl1
a55,0.312205,0.01002,0,0.015625,0.096154,0.176136,Cl2
