Alternative,g1,g2,g3,g4,Class
a1,0.5,0.071429,0,0.285714,Cl1
a2,0.357143,0.214286,0.923077,0.642857,Cl1
a3,0.928571,0.714286,0.076923,0.785714,Cl3
a4,0.714286,1,0.769231,0.071429,Cl3
a5,1,0.214286,0.769231,0.714286,Cl2
a6,0.714286,0.928571,0.461538,0.714286,Cl3
a7,0.785714,0.214286,0.230769,0.5,Cl1
a8,0.785714,0.857143,0.153846,1,Cl3
a9,0.071429,0.785714,0.384615,1,Cl2
a10,1,0.142857,0.692308,0.5,Cl2
a11,0.571429,0.714286,0.307692,0.071429,Cl2
a12,0.785714,0.214286,0.384615,0.928571,Cl2
a13,0.928571,0.571429,1,0.428571,Cl3
a14,0,0.642857,0.769231,0.928571,Cl2
a15,0.714286,0.642857,0.538462,0.785714,Cl3
a16,0.5,0.285714,0.615385,0.5,Cl1
a17,0.642857,0.142857,0.384615,0.785714,Cl1
a18,0.142857,0.214286,0.692308,0.142857,Cl1
a19,0,0.142857,0.692308,0.642857,Cl1
a20,0.928571,0.571429,0.769231,0,Cl3
a21,0.071429,1,0.153846,0.142857,Cl2
a22,0.714286,0.5,0.076923,0.642857,Cl2
a23,0.071429,0.714286,0.230769,0.428571,Cl1
a24,0.785714,0.571429,0.538462,0.642857,Cl3
a25,0.071429,0.857143,0.307692,0.142857,Cl2
a26,0.357143,0.285714,0.076923,0,Cl1
a27,0,0.857143,0.615385,0.428571,Cl2
a28,0.785714,0.714286,0.384615,0.571429,Cl3
a29,1,0.785714,0.307692,0.142857,Cl3
a30,0.571429,0.857143,0.384615,0.357143,Cl3
a31,0.857143,1,0.384615,0.357143,Cl3
a32,0.642857,0.642857,0.692308,0.5,Cl3
a33,0.571429,0.428571,0.615385,0.142857,Cl2
a34,0.857143,0.142857,0.384615,0.928571,Cl2
a35,0.928571,0.285714,0.461538,0.142857,Cl2
a36,0.642857,0.857143,0.461538,0.428571,Cl3
a37,0.071429,0.071429,0.384615,0.071429,Cl1
a38,0.357143,0.214286,0.230769,0.142857,Cl1
a39,0.214286,0.928571,0.153846,0.928571,Cl2
a40,0.5,0.357143,0.461538,0.285714,Cl1
a41,0,0.857143,0.923077,0.785714,Cl2
a42,0.642857,0.285714,1,0.428571,Cl2
a43,1,0.5,0.538462,0.642857,Cl3
a44,0.785714,0.571429,0.538462,0.714286,Cl3
a45,0.357143,0.928571,1,0.357143,Cl3
a46,0.357143,0.357143,0.153846,0,Cl1
a47,0,0.642857,0.153846,0.071429,Cl1
a48,0.357143,0,0.461538,0.5,Cl1
a49,0.071429,0.5,0.615385,0.142857,Cl1
a50,0.571429,0.928571,0.769231,0.285714,Cl3
a51,0.214286,0.785714,0.615385,0.071429,Cl2
a52,0.357143,0,0.923077,0.571429,Cl1
a53,0.642857,0.357143,0.307692,1,Cl2
a54,0.571429,0.214286,0.384615,0.785714,Cl1
a55,0.928571,0.357143,0.692308,0.428571,Cl2
a56,0.785714,0.928571,0.769231,1,Cl3
a57,0.785714,0.214286,0.923077,0.285714,Cl2
a58,0.714286,0.357143,0.769231,0.285714,Cl2
a59,0.714286,0.714286,0.615385,0.5,Cl3
a60,0,0.214286,0.538462,0.642857,Cl1
a61,0.071429,0.857143,0,0.785714,Cl2
a62,0.071429,0.642857,0.769231,0.714286,Cl2
a63,0.714286,0,0.153846,0.642857,Cl1
a64,0,0.5,1,0.928571,Cl2
a65,0.857143,0.785714,0.384615,0.428571,Cl3
a66,0.071429,0.071429,0.461538,0.285714,Cl1
a67,0.928571,0,1,0,Cl1
a68,0.857143,0.142857,0.769231,0.285714,Cl2
a69,0.928571,1,0.692308,0.285714,Cl3
a70,0,0.857143,0.538462,0.714286,Cl2
a71,0.785714,0.857143,0.615385,0.428571,Cl3
a72,0.5,0.142857,0.461538,0.857143,Cl1
a73,0.214286,0.5,0.153846,0.357143,Cl1
a74,0.5,0.5,0.769231,0.357143,Cl2
a75,0.214286,0,0.384615,0.785714,Cl1
a76,0.071429,0.071429,0.307692,0,Cl1
a77,0.857143,0.928571,0.692308,0.142857,Cl3
a78,0.071429,0.214286,0.615385,0.142857,Cl1
a79,0.357143,0.071429,0.538462,0,Cl1
a80,0.928571,0.214286,0.461538,0.928571,Cl2
a81,0.071429,0.857143,0.615385,0.857143,Cl2
a82,0.142857,0.5,0.153846,0,Cl1
a83,0,0.642857,0.461538,1,Cl1
a84,0.5,0.571429,0.076923,0.142857,Cl1
a85,0.071429,0.571429,1,0.428571,Cl2
a86,0.214286,0.5,0.769231,0.928571,Cl2
a87,0.785714,0.714286,0,0.428571,Cl2
a88,0.714286,0.928571,1,0.857143,Cl3
a89,0.357143,0.642857,0.076923,0.785714,Cl2
a90,0.214286,0,0.923077,0.428571,Cl1
a91,1,0.357143,0.384615,0.5,Cl2
a92,0.5,0.5,0.692308,0.785714,Cl2
a93,0.928571,0.5,0.384615,0.857143,Cl3
a94,1,0.714286,0.384615,0.714286,Cl3
a95,0.857143,0.857143,0.538462,0.785714,Cl3
a96,0.928571,0,0,0.357143,Cl1
a97,0.357143,0.214286,0.923077,0.928571,Cl1
a98,0.071429,0.214286,0.461538,0.785714,Cl1
a99,0.142857,0.857143,0.923077,0.714286,Cl2
a100,0.5,0.5,0.461538,0.5,Cl2
a101,0.714286,1,0.692308,0.928571,Cl3
a102,1,0.142857,0.384615,0.285714,Cl1
a103,0.571429,0.428571,0.076923,0.142857,Cl1
a104,0,0.214286,0,0.785714,Cl1
a105,0.642857,0.785714,0.461538,1,Cl3
a106,0.571429,0.071429,0.615385,0.285714,Cl1
a107,0.714286,0.214286,0.692308,0.285714,Cl1
a108,0.642857,0.928571,0.461538,0.642857,Cl3
a109,0.357143,0.428571,0,0.857143,Cl1
a110,0.357143,0.642857,0.538462,0.714286,Cl2
a111,0.642857,0.571429,0.538462,0.357143,Cl2
a112,0.928571,0.071429,0.615385,0.5,Cl1
a113,0.142857,0.142857,0.923077,0.285714,Cl1
a114,0.642857,0.285714,0.923077,0.785714,Cl2
a115,0.5,0.714286,0.307692,0.5,Cl2
a116,1,1,0.307692,1,Cl3
a117,0.357143,0.714286,0.153846,0.285714,Cl2
a118,0.214286,0.571429,0.153846,0.357143,Cl1
a119,0.785714,0.214286,0.384615,0,Cl1
a120,0.857143,0.428571,0.538462,0.285714,Cl2
a121,0,0.857143,0.692308,0.714286,Cl2
a122,0.714286,0.642857,0.923077,0.714286,Cl3
a123,0.857143,0.642857,0.307692,0.714286,Cl3
a124,0.571429,0.214286,0.923077,0.5,Cl1
a125,0.214286,0.428571,0.615385,0.857143,Cl1
a126,0.785714,0.285714,0.923077,0.571429,Cl2
a127,0.785714,0.428571,0.769231,0.571429,Cl2
a128,1,0.5,0.076923,0.714286,Cl2
a129,1,0.285714,0.076923,0.285714,Cl2
a130,0.928571,0.142857,0.923077,0.785714,Cl2
a131,0.571429,0.428571,0.769231,0.071429,Cl2
a132,0.5,0.642857,0,0.857143,Cl2
a133,0.928571,0.928571,0.384615,0.928571,Cl3
a134,0.928571,0.642857,0.923077,0.714286,Cl3
a135,0.214286,0.214286,0.076923,0.857143,Cl1
a136,0.642857,0.428571,0.153846,0.5,Cl2
a137,0.571429,0.357143,0.615385,1,Cl2
a138,0.214286,0.071429,0.307692,0.071429,Cl1
a139,0.142857,0.785714,0.769231,1,Cl2
a140,0.142857,0.785714,0.076923,0.357143,Cl1
a141,0.142857,0.428571,0.615385,0.928571,Cl1
a142,0.642857,0.428571,0.923077,0.285714,Cl2
a143,0.571429,0.857143,0,0.642857,Cl2
a144,0,0,0.769231,0.142857,Cl1
a145,0.714286,0.142857,0.538462,0.714286,Cl1
a146,0.357143,0.857143,0.692308,0.285714,Cl2
a147,0.071429,0.785714,0.384615,0.142857,Cl1
a148,0.071429,0.142857,0.692308,1,Cl1
a149,0.714286,0.785714,0.230769,0.714286,Cl3
a150,0.642857,0,0.076923,0.714286,Cl1
a151,1,0.928571,0.307692,0.928571,Cl3
a152,0.214286,0.785714,0.153846,0.857143,Cl2
a153,0.214286,0.142857,0.461538,0,Cl1
a154,0.857143,0.214286,0.307692,0.5,Cl1
a155,0.5,0.857143,0.230769,0,Cl2
a156,0.071429,0.142857,1,1,Cl1
a157,0.142857,0.214286,0.538462,0.642857,Cl1
a158,1,0.928571,0.230769,0.285714,Cl3
a159,0.928571,0.142857,0.692308,0.428571,Cl2
a160,0.785714,0.571429,0,0.642857,Cl2
a161,1,0.071429,0.384615,0.5,Cl1
a162,0.357143,0.571429,0.230769,0.642857,Cl2
a163,0.857143,0,0.153846,0.928571,Cl1
a164,0.714286,0.857143,0.076923,0.642857,Cl3
a165,0.785714,0.428571,0.384615,0.642857,Cl2
a166,1,0.642857,0,0.357143,Cl2
a167,0.857143,0.571429,0.230769,0.714286,Cl2
a168,0,0.214286,0.384615,0,Cl1
a169,0.357143,0,0.153846,0.928571,Cl1
a170,1,0.928571,0.769231,1,Cl3
a171,0.357143,0.928571,0.538462,0,Cl2
a172,0.5,0.071429,0.076923,0.142857,Cl1
a173,0.714286,0.071429,0.384615,0.285714,Cl1
a174,0.714286,0.928571,0.076923,0.571429,Cl3
a175,0.214286,0.571429,0.769231,0.357143,Cl2
a176,0.571429,0.714286,0.307692,0.857143,Cl2
a177,0.214286,0,0.615385,1,Cl1
a178,0.071429,0.785714,0.538462,0.714286,Cl2
a179,0.714286,0.285714,0.230769,0.928571,Cl2
a180,0.071429,0.357143,0.153846,0,Cl1
a181,0.857143,0.357143,1,0,Cl2
a182,0.928571,0.571429,0.692308,0.642857,Cl3
a183,0.214286,0.214286,0.615385,0.071429,Cl1
a184,0.357143,0.142857,0.538462,0.285714,Cl1
a185,0.642857,0.214286,0.153846,1,Cl1
a186,0.714286,0.285714,0.230769,0.5,Cl1
a187,0.857143,0.357143,0.230769,0.428571,Cl2
a188,0.5,0.285714,1,0.142857,Cl1
a189,0.214286,0.214286,0.153846,0.857143,Cl1
a190,0.5,0.071429,0.384615,0.857143,Cl1
a191,0.357143,0.928571,0.923077,0.571429,Cl3
a192,0.571429,0.214286,0.615385,0.428571,Cl1
a193,0.357143,0.5,0.538462,0.142857,Cl1
a194,0.714286,0.214286,0.692308,0.071429,Cl1
a195,0.357143,0.571429,0.692308,0.142857,Cl2
a196,0.785714,0.571429,0.923077,1,Cl3
a197,1,0.642857,0.307692,0.928571,Cl3
a198,0.785714,0.071429,0.307692,0.071429,Cl1
a199,0.357143,0.142857,0.076923,0.357143,Cl1
a200,0.714286,1,0.076923,0,Cl3
a201,0,0.785714,0.538462,0.5,Cl2
a202,0.357143,0.214286,0.461538,0.571429,Cl1
a203,0.357143,0.642857,0.923077,0.714286,Cl2
a204,0.785714,0.071429,0.615385,0,Cl1
a205,0.714286,0.142857,0.461538,0.5,Cl1
a206,1,0.571429,0.923077,0.285714,Cl3
a207,0.928571,0.357143,0.153846,0.428571,Cl2
a208,0.642857,0.857143,0.769231,0.357143,Cl3
a209,0.142857,0.857143,1,0.571429,Cl2
a210,0.571429,1,1,0.571429,Cl3
a211,1,0.214286,0.461538,0.714286,Cl2
a212,0.142857,0.428571,0.384615,0.071429,Cl1
a213,0.214286,1,1,0.142857,Cl3
a214,0.142857,0.357143,0.076923,0.714286,Cl1
a215,0.214286,0.5,0.615385,0.857143,Cl2
a216,0.642857,1,0.461538,1,Cl3
a217,0.214286,0.428571,0.538462,0.5,Cl1
a218,0.928571,0.214286,0.153846,0.357143,Cl1
a219,0.714286,0.071429,0,0.928571,Cl1
a220,0.071429,0.357143,0.923077,0.285714,Cl1
a221,0.357143,0.928571,0.230769,0.428571,Cl2
a222,0.071429,0,0.307692,0.428571,Cl1
a223,0.071429,0.214286,0.230769,0.428571,Cl1
a224,0.357143,0.142857,0.923077,0,Cl1
a225,0.571429,0,0.923077,0.071429,Cl1
a226,0.571429,0.214286,0.076923,0.857143,Cl1
a227,0.642857,0.857143,0.153846,0.571429,Cl3
a228,0.214286,0.571429,0.230769,0,Cl1
a229,0.928571,0.857143,0.538462,0.571429,Cl3
a230,0.642857,0.285714,0.769231,0.571429,Cl2
a231,0.642857,0.928571,0.923077,0.642857,Cl3
a232,0.571429,0.642857,0.615385,0.428571,Cl2
a233,1,0.357143,0.923077,0.857143,Cl3
a234,0.928571,0.571429,0.230769,0.285714,Cl2
a235,0.714286,0.5,0.384615,0.142857,Cl2
a236,0.571429,0.285714,0.692308,0.285714,Cl1
a237,0.571429,0.142857,0.538462,0.928571,Cl1
a238,0.571429,0.928571,0.307692,0.785714,Cl3
a239,0,0.071429,0.615385,0.571429,Cl1
a240,0.071429,0.857143,0.307692,0.928571,Cl2
a241,0.071429,1,0.769231,0.5,Cl2
a242,0.142857,0.071429,0.461538,0.428571,Cl1
a243,0.071429,0.785714,0.615385,0.142857,Cl2
a244,0.214286,0.214286,0.538462,0.142857,Cl1
a245,0.642857,0.928571,0.615385,0.285714,Cl3
a246,0.785714,0.285714,0.615385,0.642857,Cl2
a247,0.928571,1,0.538462,0.071429,Cl3
a248,0.214286,0.571429,0.307692,0.285714,Cl1
a249,0.142857,0,0.307692,1,Cl1
a250,0.357143,0.071429,0.153846,0,Cl1
a251,0.357143,0.142857,0.692308,0.5,Cl1
a252,1,0.285714,0.769231,0.857143,Cl2
a253,0.214286,0.357143,0.307692,0.785714,Cl1
a254,0.071429,0.785714,0.153846,0.928571,Cl2
a255,0.142857,0.142857,0.461538,0.714286,Cl1
a256,0.642857,0.857143,0.153846,0.642857,Cl3
a257,0.5,0.714286,0.461538,0.642857,Cl2
a258,1,0.571429,0.230769,0.857143,Cl3
