Alternative,g1,g2,g3,g4,Class
a1,0.222222,0,0.5,0.333333,Cl1
a2,0.888889,0,0.833333,0.5,Cl4
a3,0.222222,0.777778,0.666667,0,Cl3
a4,0.222222,1,0.666667,0.333333,Cl4
a5,0.777778,0.444444,0.166667,0,Cl2
a6,0.222222,0.111111,0.166667,0.833333,Cl2
a7,0.444444,0.111111,0.5,0.833333,Cl3
a8,0.444444,0.222222,0.5,0.333333,Cl2
a9,0.111111,0,0.166667,0.166667,Cl1
a10,0.222222,0,1,0,Cl2
a11,0.888889,0.555556,0.666667,0.333333,Cl4
a12,0,0.333333,1,0,Cl2
a13,0.444444,0,0,0,Cl1
a14,0.333333,0.666667,0.166667,0,Cl1
a15,1,0.333333,0.333333,0.5,Cl4
a16,0.666667,1,0.666667,0.833333,Cl5
a17,1,0.111111,0.5,0.333333,Cl3
a18,0.777778,0.222222,0.5,0.666667,Cl4
a19,0.111111,0.222222,0.666667,0.333333,Cl2
a20,0.111111,0.666667,0,0.166667,Cl1
a21,0.222222,1,0.666667,0,Cl3
a22,0.444444,0.333333,0.833333,0.333333,Cl3
a23,0.444444,0.555556,0.666667,0.5,Cl4
a24,1,0,0.166667,0,Cl1
a25,1,0.222222,0.5,1,Cl5
a26,0.333333,0.666667,0.333333,1,Cl4
a27,0.333333,0.333333,1,0,Cl3
a28,0.888889,0.111111,0.5,0.833333,Cl4
a29,0.222222,0.888889,0.5,0,Cl2
a30,0,0.666667,0.333333,1,Cl3
a31,0.777778,0.444444,0,0.5,Cl2
a32,0.666667,0.555556,0.833333,0.666667,Cl5
a33,0.777778,0,0.666667,0.666667,Cl4
a34,0.333333,0,0,0.166667,Cl1
a35,0.333333,0.333333,1,0.833333,Cl4
a36,0.777778,0,0.166667,0.166667,Cl1
a37,0.777778,0.333333,0.833333,0.166667,Cl4
a38,1,0.222222,0.666667,0,Cl3
a39,0.444444,0.555556,0.666667,0,Cl3
a40,0.555556,0.555556,0.333333,0.166667,Cl2
a41,0.555556,0.777778,0.333333,0.5,Cl4
a42,0.777778,0.555556,0.333333,0.833333,Cl4
a43,1,0.888889,0.666667,0.833333,Cl5
a44,0,0.777778,0.833333,0.833333,Cl4
a45,0.444444,0,0.666667,0.666667,Cl3
a46,0,1,1,0.666667,Cl5
a47,0.888889,0.777778,0.5,0.666667,Cl5
a48,0.777778,0.111111,0.166667,0.5,Cl2
a49,0.777778,1,0.666667,0,Cl4
a50,0.777778,0.777778,0.833333,0,Cl4
a51,0.444444,0.111111,1,0.166667,Cl3
a52,0.555556,0.333333,0.5,0.5,Cl3
a53,0.222222,0.444444,0.5,0.666667,Cl3
a54,0,0,0.166667,0.5,Cl1
a55,0.555556,0.666667,0,1,Cl4
a56,0.777778,0.444444,0.5,0.833333,Cl4
a57,0.111111,0.888889,0.333333,0.666667,Cl3
a58,0,0.666667,0.833333,0.5,Cl4
a59,0.666667,0.555556,0.5,1,Cl5
a60,0.888889,0.444444,0.833333,0.166667,Cl4
a61,0.222222,0.555556,0.5,0,Cl2
a62,0.888889,1,0.666667,0.833333,Cl5
a63,0.111111,0.777778,0.833333,0.333333,Cl4
a64,0.777778,1,0.166667,0.5,Cl4
a65,1,0.666667,0,0.166667,Cl3
a66,0.555556,0.222222,0.333333,0.333333,Cl2
a67,1,0.555556,0.666667,0,Cl4
a68,0.444444,0.333333,0.833333,0,Cl3
