Alternative,g1,g2,g3,g4,Class
a1,0.75,1,0.5,0.5,Cl4
a2,0.75,0.25,0.5,0.25,Cl2
a3,0.25,0.25,1,0.75,Cl2
a4,0.25,1,1,0.25,Cl3
a5,0,0.5,0.75,0.75,Cl2
a6,0.75,0,0,1,Cl3
a7,0.75,0.75,0,1,Cl4
a8,0,0.25,0,0.75,Cl1
a9,0,0.25,0,0,Cl1
a10,0.75,0,0,1,Cl3
a11,1,1,0.5,1,Cl4
a12,0,0.25,1,0,Cl1
a13,0.75,0.75,1,0.5,Cl4
a14,1,0.75,0.5,0.25,Cl4
a15,0,0.75,0.5,0.25,Cl2
a16,1,1,0.75,0,Cl4
a17,0.5,0,0.75,0.75,Cl2
a18,0,1,0,0.25,Cl3
a19,0.25,0.5,0.25,0,Cl2
a20,0.5,0,1,0.25,Cl2
a21,0.25,0.25,0,0,Cl1
a22,0.5,0.75,0.75,0.75,Cl3
a23,0,1,0.5,0.5,Cl3
a24,1,1,0.5,0,Cl4
a25,0.75,0.25,0.75,0.5,Cl3
a26,0.5,0.5,0.75,0.5,Cl3
a27,0.75,1,0.75,0.5,Cl4
a28,0.5,0.25,1,0,Cl2
a29,1,0.25,0.75,0.25,Cl3
a30,0.25,0.25,1,0,Cl1
a31,1,0,0.75,0.5,Cl3
a32,0.5,0.75,0,0,Cl3
a33,1,0.75,0.75,0.75,Cl4
a34,0.25,0.75,0.25,0.5,Cl3
a35,0.75,0.25,0.75,0.75,Cl3
a36,1,0,0.75,0.5,Cl3
a37,1,0.25,0.5,0.25,Cl3
a38,0.75,1,0.5,0.25,Cl4
a39,0,0.75,0.5,0,Cl2
a40,0.75,0.5,1,1,Cl4
a41,0,0,0.75,0.25,Cl1
a42,0.25,0.25,0.25,0,Cl1
a43,0.5,0.25,0,1,Cl3
a44,0.5,0,0.75,0.5,Cl2
a45,0,0,0.5,0,Cl1
a46,0,1,0.75,1,Cl3
a47,0.75,0,1,0.25,Cl2
a48,0.25,1,0.75,0.5,Cl3
a49,0,0.5,0,1,Cl2
a50,0.5,1,0.5,0.5,Cl4
a51,0.5,0,0.25,0.5,Cl2
a52,0.5,0.25,0,0,Cl2
a53,0,0.25,0,1,Cl2
a54,0.5,0.75,0.25,0.25,Cl3
a55,0.25,0.75,1,0.25,Cl3
a56,0.5,0,1,1,Cl2
a57,0.75,0.25,0.25,0,Cl2
a58,0.25,0.25,0,0.25,Cl1
a59,0.25,1,0.75,0.75,Cl4
a60,0.25,0.75,0,0.25,Cl3
a61,1,0.25,1,0.75,Cl3
a62,0.25,0.5,0,1,Cl3
a63,1,0.25,1,0.25,Cl3
a64,0.75,0.75,0.25,0.25,Cl3
a65,0.25,0.5,0,0,Cl2
a66,0.5,0,0.25,0.5,Cl2
a67,0.5,0,0,0,Cl1
a68,1,0.5,0.25,1,Cl4
a69,0.5,0.25,0.75,1,Cl3
a70,1,0.25,0.25,0.75,Cl3
a71,0.25,1,0,0.75,Cl3
a72,0.5,0.5,0.25,0.5,Cl3
a73,0.5,0.25,1,1,Cl3
a74,0,0.75,0.75,0,Cl2
a75,0.5,0.5,1,0,Cl2
a76,0.75,0.25,0.5,0,Cl2
a77,0,1,1,1,Cl3
a78,1,0.75,0.5,0.5,Cl4
a79,0.25,0.25,0.25,0,Cl1
a80,0.25,0.5,1,0.75,Cl3
a81,0.75,0,0.75,0.75,Cl2
a82,0.5,0.5,0,0,Cl2
a83,0.25,1,0.25,0.25,Cl3
a84,1,0.75,0,1,Cl4
a85,0.75,0.75,0,0.75,Cl4
a86,1,0.5,0.25,0.5,Cl3
a87,0.5,1,0,1,Cl4
a88,0.25,0.5,0.25,0,Cl2
a89,1,0,0.25,1,Cl3
a90,0.5,0.75,0.75,0,Cl3
a91,1,1,0,0.25,Cl4
a92,0,0.5,0.25,0.75,Cl2
a93,0.5,1,0.5,0.75,Cl4
a94,0.5,0.25,0.75,0.5,Cl2
a95,0.75,1,0.75,0.5,Cl4
a96,0.75,0.5,1,0,Cl3
a97,0.25,0.5,0,0.75,Cl2
a98,0.5,0.75,0,1,Cl4
a99,0,0,0.75,0.75,Cl1
a100,0.25,0.75,1,0.25,Cl3
a101,0.5,0.75,0.25,0.25,Cl3
a102,1,0.75,1,0.5,Cl4
a103,0.5,1,0.5,0.5,Cl4
a104,0.25,0,0.75,0.75,Cl2
a105,0,0.5,0,0,Cl1
a106,0.75,0,1,0,Cl2
a107,0,1,0.25,0,Cl3
a108,1,0.75,1,0.5,Cl4
a109,0.75,1,0.25,0.5,Cl4
a110,1,0,0,0.25,Cl2
a111,1,0,0.5,0.5,Cl3
a112,1,0.5,1,0.25,Cl3
a113,0.5,0.25,0,0.25,Cl2
a114,0.5,0,0.25,0.5,Cl2
a115,0,0.5,0.75,0.25,Cl2
a116,0.5,1,0.5,0.5,Cl4
a117,0.75,0.75,0.75,1,Cl4
a118,0,0,0.5,0,Cl1
a119,1,1,0.75,0.25,Cl4
a120,0.5,0,0.5,0.5,Cl2
a121,0.25,0,0.5,0.75,Cl1
a122,0,0.75,1,0.25,Cl2
a123,0.75,0,1,0.25,Cl2
a124,1,0,0.25,1,Cl3
a125,0,1,0.75,0,Cl3
a126,0.25,0.75,0.25,0,Cl2
a127,0.5,0.5,0.5,1,Cl3
a128,0.25,0.75,0,1,Cl3
a129,0.5,0.5,1,0,Cl2
a130,0.75,0,0.5,0,Cl2
a131,0.75,1,0.75,0.5,Cl4
a132,0.25,0.5,0.75,0.5,Cl2
a133,0.75,0,0,0.5,Cl2
a134,0,0.25,0.25,0.75,Cl2
a135,1,0.75,1,0.5,Cl4
a136,0.5,0,0.25,0.5,Cl2
a137,0.75,0.75,0,0.25,Cl3
a138,0.25,1,0.5,0.5,Cl3
a139,0.75,0.5,0.5,0.25,Cl3
a140,0.25,0.5,1,0.75,Cl3
a141,0.75,0.25,0.75,0,Cl2
a142,0.5,0,1,0.75,Cl2
a143,1,0.75,0,1,Cl4
a144,0.5,0.5,0.25,0,Cl2
a145,0.75,0.75,0.75,0.75,Cl4
a146,0.25,0.5,0.75,0.5,Cl2
a147,0.25,0,0.75,0.75,Cl2
a148,1,0.5,0,0,Cl3
a149,0,0,0.75,0.25,Cl1
a150,0.25,0.75,0.75,1,Cl3
a151,0.75,1,1,0.75,Cl4
a152,0,0.75,0.25,0,Cl2
a153,0.25,0,1,1,Cl2
a154,0.75,0.5,0.75,0.75,Cl3
a155,0.75,0.75,0.75,0,Cl3
a156,0.5,0.25,0.75,0.25,Cl2
a157,0.75,0.5,0.25,0.25,Cl3
a158,0.75,0.25,0.75,0,Cl2
a159,0.25,0.5,0.25,1,Cl3
a160,0.25,0.75,1,0.75,Cl3
a161,0.75,0.25,1,0.25,Cl3
a162,0.25,0.5,0,0.25,Cl2
a163,0.25,1,0.5,0.25,Cl3
a164,0.25,1,0.25,0.25,Cl3
a165,0.75,0.5,1,0.75,Cl3
a166,0.5,0.5,0,1,Cl3
a167,0.5,0.75,0,0.75,Cl3
a168,0,1,0.75,0.5,Cl3
a169,0.75,0.75,0.25,0.25,Cl3
a170,0.75,0.5,0.75,0.25,Cl3
a171,0.5,0.25,0.25,0.5,Cl2
a172,1,0.75,1,0.75,Cl4
a173,0.75,0.25,0.75,1,Cl3
a174,0,0,0.25,1,Cl1
a175,1,0.25,0.75,0.5,Cl3
a176,0.75,1,1,0.25,Cl4
a177,1,1,0.25,1,Cl4
a178,0.25,0.75,1,1,Cl3
a179,0.75,0.5,0.25,0.25,Cl3
a180,0.5,0.5,0.75,0.25,Cl3
a181,0,0.75,1,0.25,Cl2
a182,0,0.75,0,0,Cl2
a183,1,0.75,0.75,0.25,Cl4
a184,0.75,0.75,1,0.25,Cl4
a185,0.75,0,0.25,0,Cl2
a186,0.25,1,0.75,1,Cl4
a187,0.75,0.25,0,1,Cl3
a188,0.75,0.75,0,0,Cl3
a189,0.25,0,0.5,1,Cl2
a190,0.5,0,0,0.5,Cl2
a191,0,0.75,1,1,Cl3
a192,0.5,0.75,0.25,0,Cl3
a193,0.25,1,0,0.75,Cl3
a194,0.5,0.5,1,0.25,Cl3
a195,0,0.5,0.25,1,Cl2
a196,0.75,1,1,0,Cl4
a197,0,0.25,0.25,0,Cl1
a198,0,1,0,1,Cl3
a199,1,0,0,0.75,Cl3
a200,1,0.75,0.25,0.25,Cl4
a201,0.25,0.75,0.5,0,Cl2
a202,1,1,0.25,0,Cl4
a203,0.25,0.5,1,0.25,Cl2
a204,0,1,0.25,0,Cl3
a205,0.75,0,0.75,0,Cl2
a206,1,0.75,0,0,Cl3
a207,0.75,0.5,0.75,1,Cl4
a208,0.25,0.5,0.25,0,Cl2
a209,0.75,0,0,0.25,Cl2
a210,0.75,0.25,0,1,Cl3
a211,0.5,0.5,1,0.5,Cl3
a212,0.25,0.25,1,1,Cl2
a213,0.75,0.25,0,0,Cl2
a214,1,0.5,0.75,0.75,Cl4
a215,0.25,0.25,1,0.5,Cl2
a216,1,0.75,0.75,0.75,Cl4
a217,1,1,0.75,0.5,Cl4
a218,0.5,0.5,0.75,0.5,Cl3
a219,0,0.5,0.75,0.25,Cl2
a220,0,0.75,0.75,1,Cl3
a221,0,0.5,1,0.25,Cl2
a222,0.75,0,1,0.25,Cl2
a223,1,0.25,0.75,0.5,Cl3
a224,0.5,0.5,0.25,0.5,Cl3
a225,0.5,0.75,0.25,0.5,Cl3
a226,1,1,1,1,Cl4
a227,0,0.75,1,0.25,Cl2
a228,0.5,1,0.75,1,Cl4
a229,1,1,0,1,Cl4
a230,0,1,0,1,Cl3
a231,1,0.25,0.5,0.25,Cl3
a232,0,0,0.75,0.5,Cl1
a233,0.25,0,0.25,1,Cl2
a234,0.5,0.5,0.25,0.75,Cl3
a235,1,0,1,1,Cl3
a236,1,0,0.75,0.25,Cl2
a237,0.25,0.75,0.25,1,Cl3
a238,0.75,0,0,0.5,Cl2
a239,0.25,1,0.75,0.25,Cl3
a240,0.75,1,0,0,Cl4
a241,1,0,0,0,Cl2
a242,1,0.25,0.25,0,Cl3
a243,0.5,0,0.75,0.75,Cl2
a244,0,1,0.25,0.5,Cl3
a245,0.5,0.5,0.25,0.25,Cl3
a246,0.25,0.5,0.25,1,Cl3
a247,0,0.75,0.25,0.75,Cl3
a248,0.5,0.5,0.75,0.25,Cl3
a249,1,0.25,0.5,0,Cl3
a250,0.25,0.75,0.25,0.5,Cl3
a251,0.75,1,0.75,1,Cl4
a252,0.75,0.5,0.25,0.75,Cl3
a253,0.5,0.75,0.75,0.75,Cl4
a254,0,0,0,0.25,Cl1
a255,0.25,0.75,0.25,0.5,Cl3
a256,0.5,0.5,0.5,0.5,Cl3
a257,0.75,0,0.25,0.75,Cl2
a258,0,0.75,0.5,1,Cl3
a259,0.25,0,0.5,0.25,Cl1
a260,0.75,1,1,0,Cl4
a261,0.5,1,1,0.25,Cl4
a262,1,0,0.25,0.5,Cl3
a263,0.5,0.75,0,1,Cl4
a264,1,0,0.5,0.25,Cl2
a265,0,1,0.75,1,Cl3
a266,0.25,0.5,0.75,0.25,Cl2
a267,0,1,1,0.5,Cl3
a268,1,0.75,0.5,0.25,Cl4
a269,0.5,1,0.75,1,Cl4
a270,0,1,0.5,0.75,Cl3
a271,0.75,0.75,0,0.75,Cl4
a272,0,0.75,0,1,Cl3
a273,1,1,0.75,0.75,Cl4
a274,0,1,0.25,1,Cl3
a275,0.5,0.5,0.5,0,Cl2
a276,1,0.5,1,0.75,Cl4
a277,0.5,0,1,0.5,Cl2
a278,0.75,0.25,0.5,0.5,Cl3
a279,0.75,1,0,1,Cl4
a280,0,0.25,0.5,1,Cl2
a281,0.25,0.25,0.75,1,Cl2
a282,0.25,0.75,0.75,0.75,Cl3
a283,0,0.25,0,1,Cl2
a284,0.5,1,0,0.5,Cl4
a285,1,1,0.5,1,Cl4
a286,0.25,0,0.25,0,Cl1
a287,0,1,0.75,0.5,Cl3
a288,0.5,0.5,1,1,Cl3
a289,0,0.25,0,0.5,Cl1
a290,0.75,0.75,0.75,0.5,Cl4
a291,1,0.25,1,0.25,Cl3
a292,0.5,0.75,0.5,0.25,Cl3
a293,0.5,0,0,0.5,Cl2
a294,0.75,0.5,0.25,0,Cl3
a295,1,1,0.75,0.25,Cl4
a296,0.75,0.5,0,0.75,Cl3
a297,0.75,0.5,0.75,0.5,Cl3
a298,0.75,0.75,0.25,0,Cl3
a299,0.25,0,0,0,Cl1
a300,0,1,0.5,1,Cl3
a301,0.75,0.25,0,0.5,Cl3
a302,0.75,0,0.75,0.5,Cl2
a303,0,0.25,0.5,0.75,Cl2
a304,1,0.75,0.5,0,Cl4
a305,1,0,1,0.25,Cl3
a306,0.5,0,0.25,0.5,Cl2
a307,1,0.75,0.5,0.5,Cl4
a308,0.5,1,0.5,0.5,Cl4
a309,0,0.75,0.5,0,Cl2
a310,0.75,0,0.25,1,Cl3
a311,0.25,0.75,0.75,1,Cl3
a312,0.25,0.25,0.75,0,Cl1
a313,0.25,0.25,1,1,Cl2
a314,0,0.75,0.5,0.25,Cl2
a315,0.75,0.5,0.75,0.75,Cl3
a316,1,0.75,0,1,Cl4
a317,0.75,1,0.5,0.75,Cl4
a318,0.5,0,0,1,Cl2
a319,0.25,1,0,0.75,Cl3
a320,0,0,0.5,0,Cl1
a321,0,0.25,0.25,0,Cl1
a322,0.75,0.25,1,0.25,Cl3
a323,0.25,0,0.75,1,Cl2
a324,0.25,0.75,1,0.75,Cl3
a325,1,0.75,0.25,0,Cl4
a326,0.75,0.75,0.5,1,Cl4
a327,0,1,0.25,0.25,Cl3
a328,0.5,1,0.25,0.75,Cl4
a329,0.25,0,1,0.75,Cl2
a330,0.75,0.75,0.25,0.75,Cl4
a331,0,1,0.25,0.25,Cl3
a332,0.75,0.25,0.75,0,Cl2
a333,0,0.75,0.75,0.75,Cl3
a334,0.25,0.25,1,0.75,Cl2
a335,0,0,0.5,1,Cl1
a336,1,0.5,0.5,0.5,Cl4
a337,0.75,1,0,0.5,Cl4
a338,0.25,1,0,1,Cl4
a339,0.25,1,1,0.25,Cl3
a340,0.5,0.5,0.75,0,Cl2
a341,1,0.25,0.75,0.75,Cl3
a342,1,1,0.75,0.5,Cl4
a343,0.75,0,0.75,1,Cl3
a344,0.5,0.5,0,1,Cl3
a345,0.25,0.5,0.75,0.5,Cl2
a346,0.25,0,0.5,0.75,Cl1
a347,0.5,0,0.75,1,Cl2
a348,0,0.5,0.25,0,Cl1
a349,1,0.25,0.75,0.75,Cl3
a350,0,0.25,0.75,0,Cl1
a351,1,1,1,1,Cl4
a352,0.5,1,1,0.25,Cl4
a353,0.25,0.25,1,0.25,Cl2
a354,0.5,0.25,0.75,0,Cl2
a355,0.25,0.75,0.5,0.5,Cl3
a356,0.5,0,1,0,Cl1
a357,1,0.5,0.25,0.5,Cl3
a358,0,0.5,0,0.5,Cl2
a359,0.5,0.25,1,1,Cl3
a360,0.75,0.25,0.75,0.5,Cl3
a361,0,0.75,1,0.25,Cl2
a362,0.5,1,1,1,Cl4
a363,0.75,0.25,0.25,0.5,Cl3
a364,0,0.75,0.75,0.5,Cl3
a365,0.25,0,0.5,0.75,Cl1
a366,0.75,0.75,0.75,1,Cl4
