Alternative,g1,g2,g3,g4,g5,Class
a1,0.054545,0.230769,1,0.75,0,Cl1
a2,0,0.358974,0.666667,0.75,0,Cl1
a3,0.109091,0.846154,0,0.75,1,Cl2
a4,1,0.115385,1,0.75,1,Cl2
a5,0.036364,0.307692,1,0.25,0.333333,Cl1
a6,0.036364,0.076923,0.333333,0.25,1,Cl1
a7,0.090909,0.435897,0,0,0.666667,Cl1
a8,0.072727,0.423077,1,0.5,1,Cl2
a9,0.109091,0.153846,0.666667,1,0.666667,Cl2
a10,0,0.474359,1,0.25,0.666667,Cl2
a11,0,0.589744,0,0,0.666667,Cl1
a12,0.090909,0.692308,1,0.5,0.666667,Cl2
a13,0,0.346154,1,0.5,0,Cl1
a14,1,0.641026,0.666667,0.25,0.333333,Cl2
a15,0.090909,0.205128,0.333333,0.5,0,Cl1
a16,0.090909,0.205128,0.666667,0.5,0.333333,Cl1
a17,0,0.179487,0,0.25,0.666667,Cl1
a18,0.090909,0,0,0.5,1,Cl1
a19,0.109091,0.448718,0.333333,0.75,0.333333,Cl1
a20,1,0.358974,0,0.5,1,Cl2
a21,0.109091,0.705128,1,0.75,1,Cl2
a22,0,0.461538,0.333333,0,0.666667,Cl1
a23,0.109091,0.871795,0.666667,1,0.666667,Cl2
a24,1,0.166667,0.666667,0,0,Cl1
a25,0,0.564103,0.666667,1,0.333333,Cl2
a26,0.054545,0.538462,0,1,1,Cl2
a27,0.072727,0.089744,1,0.25,0.333333,Cl1
a28,0.090909,0.230769,1,0.75,0,Cl1
a29,0.109091,0.166667,1,0.5,0.333333,Cl1
a30,0,0.166667,1,0.25,1,Cl1
a31,0.036364,0.333333,1,0,0,Cl1
a32,0.090909,0.384615,0,0.5,1,Cl1
a33,1,0.410256,1,0.5,0.333333,Cl2
a34,0.054545,0.012821,1,0.5,0,Cl1
a35,0.109091,0.423077,0.666667,0.5,0.333333,Cl1
a36,0.054545,0.782051,0.333333,0,0,Cl1
a37,0.072727,0.217949,1,0,1,Cl1
a38,0.036364,0.25641,1,0,0.333333,Cl1
a39,0.036364,0.75641,1,1,0.666667,Cl2
a40,0.072727,0.294872,1,0.5,0,Cl1
a41,0,0.769231,0.333333,0.75,0,Cl2
a42,0.090909,0.858974,0,0.75,0.333333,Cl2
a43,0,0.884615,0,0.25,0.333333,Cl1
a44,0,0.076923,0.666667,0.25,0,Cl1
a45,1,0.371795,1,0.75,0.666667,Cl2
a46,0,0.807692,0.333333,0.75,0,Cl2
a47,0.036364,0.371795,0.666667,0,1,Cl1
a48,0.090909,0.576923,0.666667,0,1,Cl1
a49,1,0.166667,0,0.75,0.666667,Cl1
a50,0,0.833333,0,0.75,1,Cl2
a51,0.090909,0.179487,1,1,1,Cl2
a52,0.072727,0.307692,1,0.5,0.333333,Cl1
a53,0.054545,0.884615,0.666667,0.75,0.333333,Cl2
a54,0.036364,0.589744,0,0,0,Cl1
a55,0.090909,0.666667,1,0.25,0.666667,Cl2
a56,0.109091,0.487179,0.333333,0,0.333333,Cl1
a57,0.054545,0.217949,0.333333,0,1,Cl1
a58,0,0.641026,1,0.25,1,Cl2
a59,0.072727,0.512821,0,0.5,0.333333,Cl1
a60,0.072727,0.615385,0.666667,1,0,Cl2
a61,0.036364,0.166667,0.666667,0,1,Cl1
a62,0,0.512821,0,1,0,Cl1
a63,0.036364,0.525641,0.666667,0.75,1,Cl2
a64,0.054545,0.705128,1,0.75,0.666667,Cl2
a65,1,0.115385,0,0.5,0.666667,Cl1
a66,0.109091,0.448718,0.333333,0.25,0,Cl1
a67,1,0.076923,0.333333,1,1,Cl2
a68,0.054545,0.705128,0,0.75,0.333333,Cl2
a69,0.054545,0.192308,1,0.5,0.666667,Cl1
a70,0.090909,0.833333,0.333333,0,0.333333,Cl1
a71,0.109091,0.564103,1,0,0,Cl1
a72,0.036364,0.474359,0.666667,0.5,0.666667,Cl2
a73,0.072727,0.24359,0.666667,0.5,1,Cl1
a74,0.072727,0.589744,1,1,1,Cl2
a75,0,0.320513,0.333333,0.5,0.333333,Cl1
a76,1,0.782051,0.333333,0.25,0,Cl2
a77,0.036364,0.666667,1,0.25,0.666667,Cl2
a78,0.054545,0.782051,0,0,0.666667,Cl1
a79,0.054545,0.371795,0.333333,0.5,0.333333,Cl1
a80,0,0.448718,0.666667,0.75,1,Cl2
a81,1,0.551282,1,0.5,0.666667,Cl2
a82,0.072727,0.038462,0.333333,0,1,Cl1
a83,0.036364,0.858974,1,0.75,0,Cl2
a84,0.072727,1,0,1,0.333333,Cl2
a85,0.072727,0.871795,0,0.25,1,Cl2
a86,0.109091,0.192308,0.666667,0,0,Cl1
a87,0.090909,1,1,1,1,Cl2
a88,0.072727,0.217949,0.666667,0.25,1,Cl1
a89,0.109091,0.512821,1,0.5,0,Cl2
a90,0.054545,0.653846,1,0,0.666667,Cl2
a91,0.072727,0.897436,1,0.75,1,Cl2
a92,0.072727,0.320513,0,0.25,0.666667,Cl1
a93,0,0.564103,1,0,0.666667,Cl2
a94,0.054545,0.833333,0,0.25,0.333333,Cl1
a95,0,0.076923,0,0.25,1,Cl1
a96,0.090909,0.064103,0.666667,0.25,1,Cl1
a97,0.072727,0.371795,0.666667,0,0,Cl1
a98,0.090909,0.871795,1,0.75,0.666667,Cl2
a99,0.036364,0.333333,0,0.25,0.666667,Cl1
a100,0.072727,0.564103,0.333333,0.25,1,Cl1
a101,0.054545,0.423077,1,1,0,Cl2
a102,1,0.269231,0.333333,0,0.666667,Cl1
a103,0.072727,0.666667,0,1,0,Cl2
a104,0,0.769231,1,1,0.666667,Cl2
a105,0.036364,0.487179,0.333333,0,0.666667,Cl1
a106,0.036364,0.448718,1,0,1,Cl1
a107,0.054545,0.74359,0.666667,0.25,0,Cl2
a108,0.036364,0.115385,0,0.25,0,Cl1
a109,0.090909,0.512821,0.666667,0.25,1,Cl2
a110,0.054545,0.012821,1,0.25,0.333333,Cl1
a111,0.072727,0.961538,1,0.75,0,Cl2
a112,0.109091,0.064103,0.333333,1,0,Cl1
a113,0.036364,0.358974,0,1,1,Cl2
a114,0.054545,0.730769,0.333333,0,0,Cl1
a115,0.054545,0.153846,0.333333,0.5,0,Cl1
a116,0,0.192308,0,0.75,0.333333,Cl1
a117,0.090909,0.179487,0,1,0.666667,Cl1
a118,0,0.307692,0.333333,0.25,1,Cl1
a119,0.109091,0.679487,0.333333,0,0,Cl1
a120,0.109091,0.205128,0,0.5,0.666667,Cl1
a121,0.072727,0.230769,0.333333,0.25,1,Cl1
a122,0.072727,0.128205,0.333333,0.25,1,Cl1
a123,0.054545,0.461538,0.666667,0.25,0.333333,Cl1
a124,1,0.692308,1,1,0.666667,Cl2
a125,0.072727,0.269231,0.666667,0.75,0.666667,Cl2
a126,0,0.371795,0.333333,0,0.333333,Cl1
a127,0.036364,0.512821,0.666667,0.75,0.666667,Cl2
a128,0.054545,0.384615,0.666667,1,0.333333,Cl2
a129,1,0.551282,0.333333,0.75,1,Cl2
a130,0.072727,0.576923,0,0.75,0.666667,Cl2
a131,0.090909,0.089744,0.666667,0,1,Cl1
a132,0.109091,0.653846,0.666667,0,0.666667,Cl1
a133,0.109091,0.217949,0.666667,0.75,1,Cl2
a134,0.054545,0.346154,0.333333,0.25,0.666667,Cl1
a135,0.054545,0.551282,0.666667,1,1,Cl2
a136,0.036364,0.192308,0,1,0.666667,Cl1
a137,0.109091,0.679487,1,0,0.333333,Cl2
a138,1,0.153846,1,0.5,0.666667,Cl2
a139,0,0.692308,0,1,0,Cl2
a140,0,0.858974,0.333333,1,0,Cl2
a141,0.054545,0.512821,0.666667,0.75,0.333333,Cl2
a142,0.072727,0.153846,0.333333,0,1,Cl1
a143,0.072727,0.576923,1,0.5,1,Cl2
a144,0,0.730769,0.333333,0.25,0.666667,Cl2
a145,0.036364,0.166667,0,0.75,1,Cl1
a146,1,0.576923,1,0.75,0.333333,Cl2
