Alternative,g1,g2,g3,g4,g5,g6,g7,Class
a1,0.6,0.103359,0.5,0.625744,0.577381,1,1,Cl3
a2,1,0.29199,0.179348,0.577828,0.321429,0.083333,1,Cl3
a3,0.4,0.338501,0.097826,0.225404,0.119048,0,0.5,Cl1
a4,1,0.421189,0.320652,0.63425,0.327381,0,1,Cl3
a5,0.2,0.271318,0.195652,0.730649,0.690476,0.166667,0,Cl1
a6,1,0.196382,0.456522,0.311313,0.321429,0.333333,0.5,Cl2
a7,0,0.617571,0.336957,0.25319,0.321429,0.083333,0,Cl1
a8,1,0.490956,0.375,0.188829,0.547619,0.416667,0,Cl2
a9,0,0.054264,0.413043,0.544939,0.202381,0.333333,0.5,Cl1
a10,0,0.134367,0.233696,0.365183,0.654762,0,0.5,Cl2
a11,0,0.131783,0.179348,0.607315,0.452381,0.75,1,Cl2
a12,0.2,0.113695,0.456522,0.289481,0.178571,0,0,Cl1
a13,0.6,0.186047,0.608696,0.808336,0.309524,0.583333,0,Cl2
a14,1,0.754522,0.782609,0.437199,0.744048,1,1,Cl3
a15,0.4,0.731266,0.554348,0.515736,0.285714,0.083333,0,Cl1
a16,0.6,0.054264,0.190217,0.290899,0.202381,0.833333,0.5,Cl2
a17,0.6,0.604651,0.125,0.318117,0.577381,0,0,Cl2
a18,0,0.170543,0.157609,0.496739,0.291667,0.666667,1,Cl2
a19,0.4,0.813953,0.271739,0.601644,0.934524,0.166667,0.5,Cl3
a20,0.6,0.170543,0.472826,0.146583,0.285714,0.833333,0.5,Cl2
a21,0.4,0.020672,0.521739,0.115396,0.654762,0.333333,0.5,Cl2
a22,1,0.22739,0.483696,0.368869,0.119048,0.916667,0.5,Cl2
a23,0.4,0.813953,0.646739,0.40431,0.178571,0.416667,0.5,Cl2
a24,0.6,0.932817,0.358696,0.254607,0.458333,0.333333,0,Cl2
a25,0.2,0.02584,0.032609,0.515736,0.577381,0,0.5,Cl2
a26,0.6,0.139535,0.619565,0.69209,0.625,0.75,0.5,Cl3
a27,0.4,0.297158,0.271739,0.237596,0.208333,0.416667,0,Cl1
a28,0.6,0.03876,0.266304,0.191948,0.363095,0.916667,1,Cl3
a29,0.2,0.405685,0.108696,0.422172,0.059524,0.25,0,Cl1
a30,1,0.02584,0.918478,0.123901,0.39881,0.583333,0.5,Cl3
a31,1,0.29199,0.152174,0.698611,0.416667,0,0.5,Cl3
a32,0.4,0.245478,0.836957,0.613553,0.059524,0.666667,1,Cl2
a33,1,0.997416,0.451087,0.704565,0.386905,0.75,1,Cl3
a34,0.6,0.085271,0.380435,0.785937,0.565476,0.5,0,Cl2
a35,0.4,0,0.141304,0.885172,0.25,0,1,Cl2
a36,0.4,0.514212,0.782609,0.308761,0.47619,0.416667,0,Cl2
a37,0.2,0.116279,0.01087,0.817976,0.089286,1,1,Cl2
a38,0.2,0.470284,0.032609,0.163312,0.60119,0.333333,1,Cl3
a39,0.2,0.056848,0.152174,0.874965,0.357143,0.666667,0.5,Cl2
a40,0.2,0.007752,0.728261,0.191948,0.613095,0.25,0.5,Cl2
